s1_bag_x,s1_bag_y,s1_fence_x,s1_fence_y,s1_center_x,s1_center_y,s2_bag_x,s2_bag_y,s2_fence_x,s2_fence_y,s2_center_x,s2_center_y,s3_bag_x,s3_bag_y,s3_fence_x,s3_fence_y,s3_center_x,s3_center_y,s4_bag_x,s4_bag_y,s4_fence_x,s4_fence_y,s4_center_x,s4_center_y,s5_bag_x,s5_bag_y,s5_fence_x,s5_fence_y,s5_center_x,s5_center_y,s6_bag_x,s6_bag_y,s6_fence_x,s6_fence_y,s6_center_x,s6_center_y
376.7453736,3.139180748,1262.372009,3.407926853,4.893414388,3.035596872,1506.647158,0.9406997071,5610.141473,0.964013626,203.3338637,0.9385437584,0,0,0,0,0,0,315.5373786,2.255945541,2217.114752,3.722268275,7.296115026,2.112989511,690.2334036,4.241862697,2260.799659,4.974153862,2.56E-06,3.942074066,294.3145489,3.18979924,0,4.33972999,0.8214116893,3.016742432
396.3657983,3.147198066,1894.920304,3.731459129,,,1515.346924,0.9407694522,6550.300584,0.9947935034,,,0,285.5393304,0,5894.384432,,,363.3983153,2.286373953,1784.196849,3.780448384,,,728.2026392,4.261570257,1720.045769,5.111521416,,,302.505515,3.195649112,-0.001025320869,3.063505988,,
531.2449076,3.20573203,2282.756029,3.972407653,,,1571.309888,0.9412404799,941.754129,1.017688466,,,,,,,,,411.7785674,2.3173299,824.866722,3.721942124,,,728.6050293,4.261786808,808.0771537,5.298788502,,,472.8878816,3.320097079,-0.001077787524,2.989884826,,
599.2048267,3.235464489,2823.958345,4.482995605,,,1607.935617,0.9415489261,0,1.001874085,,,,,,,,,443.3950305,2.338064386,0,3.551491244,,,729.4819111,4.262391175,0,4.844512764,,,584.2031802,3.401532118,-0.0009835869744,2.98988053,,
645.662035,3.255892058,1259.196849,4.380014058,,,1775.902874,0.94299499,-0.002243194905,0.9298601989,,,,,,,,,576.3521619,2.432252839,-0.0008043477871,2.283695687,,,823.269053,4.333960236,-0.0008845420625,4.017376494,,,590.3912977,3.406131211,-0.000396545051,2.989879335,,
655.2072881,3.260169267,0,4.116301032,,,1917.034285,0.9442304275,0.0006906128026,0.929860193,,,,,,,,,636.2109063,2.476285243,-0.0007234792249,2.060019771,,,823.596019,4.334235989,-0.0008166573798,3.961086993,,,760.7221481,3.549483199,0.0006289465607,2.989878586,,
736.6062501,3.300736986,-0.001201829761,3.058218659,,,1928.160345,0.9443332444,1048.07638,0.9317837931,,,,,,,,,710.5238745,2.532349713,-0.0007039717659,2.060019707,,,836.221421,4.347235885,-0.0006918728768,3.920843686,,,804.4944326,3.58700749,18.38354688,2.994342138,,
753.7758156,3.309630338,-0.001238747976,2.986797151,,,2135.107468,0.946258887,2538.27357,0.9351889298,,,,,,,,,723.3576371,2.542259769,-0.0007012681519,2.060019698,,,884.3600187,4.415256704,-0.0006305250475,3.916626398,,,816.517447,3.598659754,127.1812385,3.03109074,,
918.1506798,3.397947269,-0.00107522245,2.986796636,,,2361.215178,0.9483711633,3555.104419,0.9410628239,,,,,,,,,884.6066151,2.668428996,1.45E-05,2.060019381,,,891.6282774,4.431178268,-1.25E-05,3.896206461,,,950.218151,3.741118356,1561.549778,4.045784248,,
974.5107416,3.434809724,-0.0001645482254,2.986796402,,,2393.132883,0.9486849016,4701.356989,0.9505145175,,,,,,,,,896.3211149,2.677905206,0.0001891248863,2.06001932,,,889.9674743,4.50778459,751.6184292,4.214638105,,,962.9611192,3.755574794,2207.069438,4.595279107,,
1128.338435,3.551144263,0.0004037976967,2.986796314,,,2417.16934,0.9489289506,5610.141473,0.964013626,,,,,,,,,1159.131141,2.930431096,18.38354688,2.060019936,,,888.182808,4.514965806,1967.485269,4.809392169,,,1003.697068,3.82334082,2272.421028,4.651265755,,
1128.744844,3.551466613,0.0005494156458,2.986796298,,,2658.705492,0.9520540255,,,,,,,,,,,1280.430429,3.056033049,190.9402732,2.099805652,,,886.9766522,4.515977673,2260.799659,4.974153862,,,1050.661123,3.926295347,1382.380802,4.71624731,,
1132.300041,3.555185963,55.28198366,2.986796794,,,2690.173191,0.9526048201,,,,,,,,,,,1296.352841,3.072711016,966.1742729,2.595884341,,,855.9401386,4.520755716,,,,,1074.156575,3.98225071,747.5801945,4.609766816,,
1141.253559,3.609483084,414.9545903,3.0984366,,,2741.104272,0.9537906735,,,,,,,,,,,1345.128227,3.125638731,1104.252925,2.691379087,,,807.219683,4.52756925,,,,,1074.234272,3.985675931,142.6930095,4.466799525,,
1146.876562,3.644494556,883.281679,3.26527378,,,2800.207785,0.9551685416,,,,,,,,,,,1346.947706,3.13599493,1700.347504,3.108159899,,,773.7918461,4.529798931,,,,,1038.726777,4.120045291,0,4.33972999,,
1146.429472,3.645192209,1262.372009,3.407926853,,,2811.756914,0.9554530031,,,,,,,,,,,1324.859954,3.200663681,1758.02206,3.153551,,,765.7703265,4.529928851,,,,,1027.391342,4.147639591,,,,
1130.371036,3.661830538,,,,,2829.576664,0.9559350598,,,,,,,,,,,1318.693985,3.2168595,2217.114752,3.722268275,,,640.9351864,4.530785454,,,,,1011.539334,4.159731078,,,,
1128.059678,3.662525608,,,,,2958.144257,0.9615343302,,,,,,,,,,,1264.009667,3.313376626,,,,,607.3890874,4.530146405,,,,,982.1402727,4.17371028,,,,
1107.964111,3.666438248,,,,,3023.641094,0.9645290116,,,,,,,,,,,1262.322445,3.316290002,,,,,598.8701124,4.529475811,,,,,930.592114,4.195776383,,,,
1054.078599,3.673695097,,,,,3032.732106,0.9651871423,,,,,,,,,,,1260.253559,3.318957144,,,,,512.159607,4.516481108,,,,,922.8302132,4.198131854,,,,
952.7229415,3.679327435,,,,,3032.476001,0.9652582725,,,,,,,,,,,1241.053958,3.323793348,,,,,473.469246,4.509407043,,,,,915.9918185,4.199121316,,,,
902.0947774,3.681124318,,,,,2955.033703,0.9683948742,,,,,,,,,,,1072.340998,3.355928458,,,,,443.3929359,4.50302448,,,,,837.3070345,4.201037726,,,,
888.6324524,3.681467908,,,,,2934.21185,0.9690302767,,,,,,,,,,,1048.665598,3.359316534,,,,,436.4369906,4.501190077,,,,,799.9231469,4.201081487,,,,
859.3076157,3.682055921,,,,,2894.315591,0.970121141,,,,,,,,,,,1014.765365,3.363705327,,,,,382.5720689,4.484583402,,,,,708.3389901,4.200127361,,,,
850.7650247,3.682142505,,,,,2879.674263,0.9704770037,,,,,,,,,,,1012.730533,3.363727028,,,,,370.7872744,4.480503587,,,,,688.9271633,4.199313569,,,,
780.9684352,3.678270994,,,,,2860.92268,0.9709095396,,,,,,,,,,,1000.283582,3.363480311,,,,,341.5192319,4.469323163,,,,,679.0987427,4.197647537,,,,
637.8585671,3.666698021,,,,,2858.197485,0.9709609689,,,,,,,,,,,976.7281506,3.361942163,,,,,335.7796282,4.467104637,,,,,646.7862676,4.190664845,,,,
571.8037214,3.657218235,,,,,2759.570414,0.972787998,,,,,,,,,,,821.7665245,3.349517497,,,,,318.8469222,4.459899955,,,,,618.6731482,4.184465059,,,,
560.0781218,3.65529971,,,,,2699.091025,0.973860036,,,,,,,,,,,815.56589,3.348291062,,,,,198.9590003,4.40339051,,,,,577.5127668,4.1750001,,,,
516.2645773,3.647999779,,,,,2612.05498,0.9753991795,,,,,,,,,,,809.4496749,3.346896659,,,,,178.8502023,4.393665724,,,,,419.7970413,4.138371223,,,,
508.3264701,3.646347749,,,,,2545.601733,0.9765187819,,,,,,,,,,,798.3005422,3.344210309,,,,,174.2617007,4.390620031,,,,,411.8383946,4.136425784,,,,
352.3414782,3.589213968,,,,,2503.310938,0.9769616482,,,,,,,,,,,707.2277189,3.319943029,,,,,161.1600986,4.381791081,,,,,408.0888458,4.135250468,,,,
349.1149323,3.587425537,,,,,2356.941045,0.9781071566,,,,,,,,,,,575.9805194,3.284818356,,,,,158.8823752,4.379993853,,,,,268.6012155,4.062325048,,,,
343.8935823,3.584485697,,,,,2310.9164,0.9784551115,,,,,,,,,,,544.3452925,3.273811393,,,,,83.79631323,4.315713134,,,,,252.1338626,4.053095178,,,,
335.3296879,3.579329628,,,,,2299.479695,0.9785253997,,,,,,,,,,,531.3400448,3.269015347,,,,,69.04293085,4.30228772,,,,,244.6628272,4.048589187,,,,
307.0506626,3.56229963,,,,,2187.889118,0.9789277403,,,,,,,,,,,322.1374549,3.190653858,,,,,55.10790427,4.288737143,,,,,244.020385,4.048194752,,,,
200.6071056,3.497964058,,,,,2144.100908,0.9790274082,,,,,,,,,,,313.2411375,3.186319973,,,,,52.46964889,4.28547843,,,,,237.8104509,4.043287774,,,,
150.3271874,3.465222556,,,,,1681.120397,0.9790030099,,,,,,,,,,,294.2011927,3.176488841,,,,,34.76463015,4.25960271,,,,,223.8942414,4.032129214,,,,
125.2754587,3.448020869,,,,,1591.018122,0.9789052551,,,,,,,,,,,242.6011705,3.148723509,,,,,32.56766107,4.256301283,,,,,222.411099,4.030924163,,,,
97.86743273,3.426385101,,,,,1513.470209,0.9786843173,,,,,,,,,,,204.5951561,3.125669768,,,,,24.54865378,4.24335326,,,,,222.1400682,4.030696443,,,,
95.93918841,3.424812644,,,,,1421.876687,0.9784095901,,,,,,,,,,,189.0686511,3.116126063,,,,,24.06234475,4.242491492,,,,,222.1280147,4.030685644,,,,
